AJ 202150-RTL50
1.0000000 0.0000038
0.9983738 0.0012576
0.9941047 0.0048727
0.9880599 0.0101670
0.9804326 0.0161023
0.9707217 0.0220391
0.9584305 0.0280433
0.9434843 0.0343064
0.9260061 0.0407958
0.9060623 0.0474620
0.8837613 0.0542583
0.8592295 0.0611401
0.8325938 0.0680509
0.8040104 0.0749295
0.7736451 0.0817207
0.7416739 0.0883657
0.7082934 0.0947858
0.6737002 0.1009283
0.6381025 0.1067225
0.6017092 0.1121372
0.5647713 0.1171311
0.5275404 0.1216894
0.4903194 0.1258155
0.4534320 0.1294476
0.4172029 0.1325106
0.3818870 0.1348725
0.3476984 0.1364008
0.3147890 0.1369829
0.2833680 0.1365817
0.2535949 0.1348582
0.2253041 0.1316847
0.1983558 0.1271769
0.1727629 0.1214067
0.1485559 0.1145639
0.1258824 0.1068173
0.1048660 0.0983268
0.0855904 0.0891988
0.0681359 0.0796051
0.0525754 0.0696907
0.0389727 0.0596085
0.0274093 0.0495279
0.0180092 0.0394797
0.0106606 0.0294598
0.0052067 0.0196723
0.0016618 0.0103620
0.0000589 0.0018275
0.0005159 -0.0055507
0.0029939 -0.0109893
0.0083008 -0.0139395
0.0175735 -0.0151997
0.0304376 -0.0155378
0.0466265 -0.0149858
0.0659393 -0.0136565
0.0881683 -0.0115981
0.1130873 -0.0088262
0.1404387 -0.0052482
0.1702822 -0.0005014
0.2029981 0.0053900
0.2386142 0.0119492
0.2769356 0.0188852
0.3176887 0.0259350
0.3606009 0.0328437
0.4053122 0.0393658
0.4514647 0.0452670
0.4986220 0.0503329
0.5463571 0.0543480
0.5941923 0.0571618
0.6416179 0.0586534
0.6881228 0.0587435
0.7331862 0.0574210
0.7762890 0.0547312
0.8169254 0.0507523
0.8545907 0.0456287
0.8888414 0.0395196
0.9192135 0.0326433
0.9453047 0.0252068
0.9665649 0.0174330
0.9822920 0.0100949
0.9925502 0.0044389
0.9982151 0.0010842
1.0000000 -0.0000045
