AJ 202190-SRTL10
1.0000000 0.0000000
0.9983810 0.0012644
0.9941408 0.0049167
0.9881604 0.0102890
0.9806098 0.0163284
0.9709532 0.0223628
0.9586808 0.0284177
0.9437240 0.0346712
0.9262156 0.0410994
0.9062271 0.0476568
0.8838688 0.0542959
0.8592711 0.0609787
0.8325648 0.0676593
0.8039096 0.0742875
0.7734736 0.0808168
0.7414342 0.0871945
0.7079886 0.0933449
0.6733337 0.0992162
0.6376791 0.1047451
0.6012353 0.1099119
0.5642554 0.1146950
0.5269930 0.1191047
0.4897516 0.1231680
0.4528548 0.1268440
0.4166252 0.1300642
0.3813141 0.1326958
0.3471301 0.1345903
0.3142190 0.1356118
0.2827844 0.1356857
0.2529789 0.1344294
0.2246366 0.1316742
0.1976251 0.1275066
0.1719684 0.1219835
0.1477089 0.1152926
0.1250044 0.1076107
0.1039842 0.0991128
0.0847322 0.0899263
0.0673255 0.0802424
0.0518313 0.0702220
0.0383081 0.0600303
0.0268362 0.0498418
0.0175414 0.0396910
0.0103135 0.0295780
0.0049904 0.0197133
0.0015711 0.0103519
0.0000519 0.0017994
0.0004796 -0.0055809
0.0028893 -0.0110398
0.0081756 -0.0140256
0.0174451 -0.0153324
0.0303127 -0.0157407
0.0465126 -0.0153060
0.0658438 -0.0141191
0.0880966 -0.0122083
0.1130416 -0.0095703
0.1404197 -0.0061011
0.1702880 -0.0014273
0.2030236 0.0044362
0.2386531 0.0110137
0.2769825 0.0180089
0.3177381 0.0251611
0.3606483 0.0322142
0.4053552 0.0389156
0.4515041 0.0450168
0.4986617 0.0502858
0.5464033 0.0544906
0.5942515 0.0574676
0.6416957 0.0590876
0.6882227 0.0592683
0.7333093 0.0580012
0.7764340 0.0553313
0.8170891 0.0513423
0.8547690 0.0461912
0.8890304 0.0400466
0.9194082 0.0331282
0.9454954 0.0256325
0.9667400 0.0177874
0.9824343 0.0103634
0.9926329 0.0045906
0.9982390 0.0011302
1.0000000 0.0000000
