s1223 Y
1.0 0.0
0.99417 0.00494
0.98075 0.01646
0.95884 0.02853
0.92639 0.04116
0.88406 0.05427
0.83277 0.06749
0.77369 0.08044
0.70823 0.09277
0.63798 0.10412
0.56465 0.11425
0.49025 0.12303
0.41721 0.13011
0.34777 0.13447
0.28347 0.13505
0.22541 0.13037
0.17286 0.12026
0.12591 0.10598
0.08545 0.08879
0.05223 0.06965
0.02694 0.04966
0.01028 0.02954
0.00155 0.01033
0.00044 -0.00561
0.00789 -0.01427
0.03006 -0.01584
0.06561 -0.01404
0.11282 -0.00925
0.17006 -0.00075
0.2384 0.01213
0.3175 0.02652
0.40519 0.04021
0.4986 0.05129
0.59428 0.0582
0.68832 0.05994
0.7766 0.05612
0.855 0.04706
0.91966 0.03387
0.96693 0.01822
0.99268 0.00468
1.0 0.0
